ID,Name,Type_1,Type_2,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,Legendary
772,Hawlucha,Fighting,Flying,500,78,92,75,74,63,118,6,FALSE
773,Dedenne,Electric,Fairy,431,67,58,57,81,67,101,6,FALSE
774,Carbink,Rock,Fairy,500,50,50,150,50,150,50,6,FALSE
775,Goomy,Dragon,,300,45,50,35,55,75,40,6,FALSE
776,Sliggoo,Dragon,,452,68,75,53,83,113,60,6,FALSE
777,Goodra,Dragon,,600,90,100,70,110,150,80,6,FALSE
778,Klefki,Steel,Fairy,470,57,80,91,80,87,75,6,FALSE
779,Phantump,Ghost,Grass,309,43,70,48,50,60,38,6,FALSE
780,Trevenant,Ghost,Grass,474,85,110,76,65,82,56,6,FALSE
781,PumpkabooAverage Size,Ghost,Grass,335,49,66,70,44,55,51,6,FALSE
782,PumpkabooSmall Size,Ghost,Grass,335,44,66,70,44,55,56,6,FALSE
783,PumpkabooLarge Size,Ghost,Grass,335,54,66,70,44,55,46,6,FALSE
784,PumpkabooSuper Size,Ghost,Grass,335,59,66,70,44,55,41,6,FALSE
785,GourgeistAverage Size,Ghost,Grass,494,65,90,122,58,75,84,6,FALSE
786,GourgeistSmall Size,Ghost,Grass,494,55,85,122,58,75,99,6,FALSE
787,GourgeistLarge Size,Ghost,Grass,494,75,95,122,58,75,69,6,FALSE
788,GourgeistSuper Size,Ghost,Grass,494,85,100,122,58,75,54,6,FALSE
789,Bergmite,Ice,,304,55,69,85,32,35,28,6,FALSE
790,Avalugg,Ice,,514,95,117,184,44,46,28,6,FALSE
791,Noibat,Flying,Dragon,245,40,30,35,45,40,55,6,FALSE
792,Noivern,Flying,Dragon,535,85,70,80,97,80,123,6,FALSE
793,Xerneas,Fairy,,680,126,131,95,131,98,99,6,TRUE
794,Yveltal,Dark,Flying,680,126,131,95,131,98,99,6,TRUE
795,Zygarde50% Forme,Dragon,Ground,600,108,100,121,81,95,95,6,TRUE
796,Diancie,Rock,Fairy,600,50,100,150,100,150,50,6,TRUE
797,DiancieMega Diancie,Rock,Fairy,700,50,160,110,160,110,110,6,TRUE
798,HoopaHoopa Confined,Psychic,Ghost,600,80,110,60,150,130,70,6,TRUE
799,HoopaHoopa Unbound,Psychic,Dark,680,80,160,60,170,130,80,6,TRUE
800,Volcanion,Fire,Water,600,80,110,120,130,90,70,6,TRUE
